Cap,Name,Career,Mat,Inn,NO,Runs,HS,Avg,100/50,Balls,Mdn,Runs.1,Wkt,BB,Avg.1,5wI,Ca,St,Ref,Role
189,Pat Cummins,2011–,90,59,22,537,37,14.51,0/0,"4,683",46,"4,116",143,May-70,28.78,1,24,0,[195],Bowler
190,Mitchell Marsh,2011–,99,95,12,"3,098",177*,37.32,Apr-20,"2,213",9,"2,036",57,May-33,35.71,1,36,0,[196],AllRounder
191,Dan Christian,2012–2021,20,18,5,273,39,21,0/0,727,4,595,20,May-31,29.75,1,10,0,[197],AllRounder
192,Matthew Wade,2012–2021,97,83,12,"1,867",100*,26.29,01-Nov,0,0,0,0,,,0,108,9,[198],Wicketkeeper
193,Peter Forrest,2012,15,14,0,368,104,26.28,01-Mar,0,0,0,0,,,0,4,0,[199],Batsman
194,Nathan Lyon,2012–2019,29,14,10,77,30,19.25,0/0,"1,626",11,"1,334",29,Apr-44,46,0,7,0,[200],Bowler
195,George Bailey,2012–2016,90,85,10,"3,044",156,40.58,Mar-22,0,0,0,0,,,0,48,0,[201],Batsman
196,Glenn Maxwell,2012–,149,136,18,"3,990",201*,33.84,Apr-23,"4,002",14,"3,644",77,Apr-40,47.32,0,91,0,[202],AllRounder
197,Aaron Finch,2013–2022,146,142,3,"5,406",153*,38.89,17/30,284,0,259,4,01-Feb,64.75,0,71,0,[203],Batsman
198,Phillip Hughes,2013–2014,25,24,1,826,138*,35.91,02-Apr,0,0,0,0,,,0,5,0,[204],Batsman
199,Usman Khawaja,2013–2019,40,39,2,"1,554",104,42,02-Dec,0,0,0,0,,,0,13,0,[205],Batsman
200,Ben Cutting,2013–2014,4,2,0,53,27,26.5,0/0,216,1,158,5,Mar-45,31.6,0,1,0,[206],Batsman
201,Kane Richardson,2013–2020,25,12,7,75,24*,15,0/0,"1,312",11,"1,240",39,May-68,31.79,1,7,0,[207],Bowler
202,James Faulkner,2013–2017,69,52,22,"1,032",116,34.4,01-Apr,"3,211",12,"2,962",96,Apr-32,30.85,0,21,0,[208],AllRounder
203,Fawad Ahmed,2013,3,1,1,4,4*,,0/0,144,0,145,3,Jan-39,48.33,0,0,0,[209],Batsman
204,Nathan Coulter-Nile,2013–2019,32,21,6,252,92,16.8,0/1,"1,678",10,"1,555",52,Apr-48,29.9,0,7,0,[210],Bowler
205,Sean Abbott,2014–,29,21,2,374,69,19.68,0/2,"1,331",9,"1,271",35,Mar-23,36.31,0,14,0,[211],AllRounder
206,Gurinder Sandhu,2015,2,0,0,0,,,0/0,120,0,107,3,Feb-49,35.67,0,0,0,[212],Batsman
207,Joe Burns,2015,6,6,0,146,69,24.33,0/1,0,0,0,0,,,0,2,0,[213],Batsman
208,Ashton Agar,2015–2023,21,17,4,274,46,21.07,0/0,"1,044",4,918,20,Feb-31,45.9,0,10,0,[214],Bowler
209,Marcus Stoinis,2015–,71,64,8,"1,495",146*,26.69,01-Jun,"2,071",5,"2,070",48,Mar-16,43.12,0,18,0,[215],AllRounder
210,Scott Boland,2016,14,4,1,9,4,3,0/0,716,3,725,16,Mar-67,45.31,0,3,0,[216],Bowler
