No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,Selected,Role
120,Gyanendra Pandey,1999,1999,2,2.0,1.0,4.0,4*,4.0,78.0,1.0,60.0,0.0,,0.0,0,0,0,Batsman
121,Amay Khurasiya,1999,2001,12,11.0,0.0,149.0,57,13.54,0.0,0.0,0.0,0.0,,0.0,3,0,0,Batsman
122,Sadagoppan Ramesh,1999,1999,24,24.0,1.0,646.0,82,28.08,36.0,0.0,38.0,1.0,1/23,38.0,3,0,0,Batsman
123,Virender Sehwag ,1999,2013,241,235.0,9.0,7995.0,219,35.37,4290.0,13.0,3737.0,94.0,4/6,39.75,90,0,0,AllRounder
124,Jacob Martin,1999,2001,10,8.0,1.0,158.0,39,22.57,0.0,0.0,0.0,0.0,,0.0,6,0,0,Batsman
125,Vijay Bharadwaj,1999,2002,10,9.0,4.0,136.0,41*,27.2,372.0,3.0,307.0,16.0,3/34,19.18,4,0,0,Batsman
126,Thirunavukkarasu Kumaran,1999,2000,8,3.0,0.0,19.0,8,6.33,378.0,4.0,348.0,9.0,3/24,38.66,3,0,0,Batsman
127,Devang Gandhi,1999,2000,3,3.0,0.0,49.0,30,16.33,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
128,Sameer Dighe,2000,2001,23,17.0,6.0,256.0,94*,23.27,0.0,0.0,0.0,0.0,,0.0,19,5,0,Wicketkeeper
129,Sridharan Sriram,2000,2004,8,7.0,1.0,81.0,57,13.5,324.0,1.0,274.0,9.0,3/43,30.44,1,0,0,Batsman
130,Hemang Badani,2000,2004,40,36.0,10.0,867.0,100,33.34,183.0,0.0,149.0,3.0,1/7,49.66,13,0,0,Batsman
131,Amit Bhandari,2000,2004,2,1.0,1.0,0.0,0*,0.0,106.0,0.0,106.0,5.0,3/31,21.2,0,0,0,Batsman
132,Vijay Dahiya,2000,2001,19,15.0,2.0,216.0,51,16.61,0.0,0.0,0.0,0.0,,0.0,19,5,0,Wicketkeeper
133,Zaheer Khan,2000,2012,194,96.0,31.0,753.0,34*,11.58,9815.0,112.0,8102.0,269.0,5/42,30.11,43,0,0,Bowler
134,Yuvraj Singh,2000,2017,301,275.0,39.0,8609.0,150,36.47,4988.0,18.0,4227.0,110.0,5/31,38.42,93,0,0,AllRounder
135,Reetinder Singh Sodhi,2000,2002,18,14.0,3.0,280.0,67,25.45,462.0,3.0,365.0,5.0,2/31,73.0,9,0,0,Batsman
136,Dinesh Mongia,2001,2007,57,51.0,7.0,1230.0,159*,27.95,640.0,1.0,571.0,14.0,3/31,40.78,21,0,0,Batsman
137,Ashish Nehra,2001,2011,117,45.0,21.0,140.0,24,5.83,5637.0,53.0,4899.0,155.0,6/23,31.6,17,0,0,Bowler
138,Shiv Sunder Das,2001,2002,4,4.0,1.0,39.0,30,13.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
139,Deep Dasgupta,2001,2001,5,4.0,1.0,51.0,24*,17.0,0.0,0.0,0.0,0.0,,0.0,2,1,0,Wicketkeeper
140,Ajay Ratra,2002,2002,12,8.0,1.0,90.0,30,12.85,0.0,0.0,0.0,0.0,,0.0,11,5,0,Wicketkeeper
141,Sanjay Bangar,2002,2004,15,15.0,2.0,180.0,57*,13.84,442.0,2.0,384.0,7.0,2/39,54.85,4,0,0,Batsman
142,Mohammad Kaif,2002,2006,125,110.0,24.0,2753.0,111*,32.01,0.0,0.0,0.0,0.0,,0.0,55,0,0,Batsman
143,Sarandeep Singh,2002,2003,5,4.0,1.0,47.0,19,15.66,258.0,1.0,180.0,3.0,2/34,60.0,2,0,0,Batsman
144,Murali Kartik,2002,2007,37,14.0,5.0,126.0,32*,14.0,1907.0,19.0,1612.0,37.0,6/27,43.56,10,0,0,Batsman
145,Tinu Yohannan,2002,2002,3,2.0,2.0,7.0,5*,0.0,12.0,1.0,122.0,5.0,3/33,24.4,0,0,0,Batsman
146,Jai Yadav,2002,2005,12,7.0,3.0,81.0,69,20.25,396.0,4.0,326.0,6.0,2/32,54.33,3,0,0,Batsman
147,Lakshmipathy Balaji,2002,2009,30,16.0,6.0,120.0,21*,12.0,1447.0,12.0,1344.0,34.0,4/48,39.52,11,0,0,Batsman
148,Parthiv Patel,2003,2012,38,34.0,3.0,736.0,95,23.74,0.0,0.0,0.0,0.0,,0.0,30,9,0,Wicketkeeper
149,Gautam Gambhir ,2003,2013,147,143.0,11.0,5238.0,150*,39.68,6.0,0.0,13.0,0.0,,0.0,36,0,0,Batsman
150,Aavishkar Salvi,2003,2003,4,3.0,1.0,4.0,4*,2.0,172.0,3.0,120.0,4.0,2/15,30.0,2,0,0,Batsman
151,Amit Mishra,2003,2016,36,11.0,3.0,43.0,14,5.37,1917.0,19.0,1511.0,64.0,6/48,23.6,5,0,0,Bowler
152,Abhijit Kale,2003,2003,1,1.0,0.0,10.0,10,10.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
153,Irfan Pathan,2004,2012,120,87.0,21.0,1544.0,83,23.39,5855.0,48.0,5143.0,173.0,5/27,29.72,21,0,0,AllRounder
154,Rohan Gavaskar,2004,2004,11,10.0,2.0,151.0,54,18.87,72.0,0.0,74.0,1.0,1/56,74.0,5,0,0,Batsman
155,Ramesh Powar,2004,2007,31,19.0,5.0,163.0,54,11.64,1536.0,6.0,1191.0,34.0,3/24,35.02,3,0,0,Batsman
156,Dinesh Karthik,2004,2019,94,79.0,21.0,1752.0,79,30.2,0.0,0.0,0.0,0.0,,0.0,64,7,0,Wicketkeeper
157,M.S. Dhoni ,2004,2019,347,294.0,83.0,10599.0,183*,50.23,36.0,0.0,31.0,1.0,1/14,31.0,318,120,0,Wicketkeeper
158,Joginder Sharma,2004,2007,4,3.0,2.0,35.0,29*,35.0,150.0,3.0,115.0,1.0,1/28,115.0,3,0,0,Batsman
159,Suresh Raina ,2005,2018,226,194.0,35.0,5615.0,116*,35.31,2126.0,5.0,1811.0,36.0,3/34,50.3,102,0,0,AllRounder
160,Yalaka Venugopal Rao,2005,2006,16,11.0,2.0,218.0,61*,24.22,0.0,0.0,0.0,0.0,,0.0,6,0,0,Batsman
161,R. P. Singh,2005,2011,58,20.0,10.0,104.0,23,10.4,2565.0,31.0,2343.0,69.0,4/35,33.95,13,0,0,Bowler
162,S. Sreesanth,2005,2011,53,21.0,10.0,44.0,10*,4.0,2476.0,16.0,2508.0,75.0,6/55,33.44,7,0,0,Bowler
163,Munaf Patel,2006,2011,70,27.0,16.0,74.0,15,6.72,3154.0,38.0,2603.0,86.0,4/29,30.26,6,0,0,Bowler
164,V. R. V. Singh,2006,2006,2,1.0,0.0,8.0,8,8.0,72.0,0.0,105.0,0.0,,0.0,3,0,0,Batsman
165,Robin Uthappa,2006,2015,46,42.0,6.0,934.0,86,25.94,0.0,0.0,0.0,0.0,,0.0,19,2,0,Wicketkeeper
166,Wasim Jaffer,2006,2006,2,2.0,0.0,10.0,10,5.0,0.0,0.0,0.0,0.0,,0.0,0,0,0,Batsman
167,Piyush Chawla,2007,2011,25,12.0,5.0,38.0,13*,5.42,1312.0,6.0,1117.0,32.0,4/23,34.9,9,0,0,Batsman
168,Rohit Sharma ,2007,2023,243,236.0,34.0,9825.0,264,48.63,593.0,2.0,515.0,8.0,2/27,64.37,87,0,1,Batsman
169,Ishant Sharma,2007,2016,80,28.0,13.0,72.0,13,4.8,3733.0,29.0,3563.0,115.0,4/34,30.98,19,0,0,Bowler
170,Praveen Kumar,2007,2012,68,33.0,12.0,292.0,54,13.9,3242.0,44.0,2774.0,77.0,4/31,36.02,11,0,0,Bowler
171,Manoj Tiwary,2008,2015,12,12.0,1.0,287.0,104*,26.09,132.0,0.0,150.0,5.0,4/61,30.0,4,0,0,Batsman
172,Yusuf Pathan,2008,2012,57,41.0,11.0,810.0,123*,27.0,1490.0,3.0,1365.0,33.0,3/49,41.36,17,0,0,AllRounder
173,Manpreet Gony,2008,2008,2,0.0,0.0,0.0,,0.0,78.0,1.0,76.0,2.0,2/65,38.0,0,0,0,Batsman
174,Pragyan Ojha,2008,2012,18,10.0,8.0,46.0,16*,23.0,876.0,5.0,652.0,21.0,4/38,31.04,7,0,0,Batsman
175,Virat Kohli ,2008,2023,274,265.0,40.0,12898.0,183,57.32,641.0,1.0,665.0,4.0,1/15,166.25,141,0,1,Batsman
176,Subramaniam Badrinath,2008,2011,7,6.0,1.0,79.0,27*,15.8,0.0,0.0,0.0,0.0,,0.0,2,0,0,Batsman
177,Ravindra Jadeja,2009,2023,174,118.0,41.0,2526.0,87,32.8,8725.0,50.0,7142.0,191.0,5/36,37.39,65,0,1,AllRounder
178,Abhishek Nayar,2009,2009,3,1.0,1.0,0.0,0*,0.0,18.0,0.0,17.0,0.0,,0.0,0,0,0,Batsman
179,Sudeep Tyagi,2009,2010,4,1.0,1.0,1.0,1*,0.0,165.0,4.0,144.0,3.0,1/15,48.0,1,0,0,Batsman
180,Abhimanyu Mithun,2010,2011,5,3.0,0.0,51.0,24,17.0,180.0,1.0,203.0,3.0,2/32,92.72,1,0,0,Batsman
181,Murali Vijay,2010,2015,17,16.0,0.0,339.0,72,21.18,36.0,0.0,37.0,1.0,1/19,37.0,9,0,0,Batsman
182,Ashok Dinda,2010,2013,13,5.0,0.0,21.0,16,4.2,594.0,1.0,612.0,12.0,2/44,51.0,1,0,0,Batsman
183,Vinay Kumar,2010,2013,31,13.0,4.0,86.0,27*,9.55,1436.0,19.0,1423.0,38.0,4/30,37.44,6,0,0,Batsman
184,Umesh Yadav,2010,2018,75,24.0,14.0,79.0,18*,7.9,3558.0,23.0,3565.0,106.0,4/31,33.63,22,0,0,Bowler
185,Ravichandran Ashwin,2010,2022,113,63.0,20.0,707.0,65,16.07,6141.0,36.0,5058.0,151.0,4/25,33.49,30,0,1,Bowler
