No,Name,First,Last,Mat,Inn,NO.1,Runs,HS,Avg,Balls,Mdn,Runs_1,Wkt,BBM,Avg_2,Ca,St,strike_rate,consistency,economy,bowler_score
250,Kuldeep Sen,2022,2022,0.0,1.0,1.0,2.0,2*,0.0,30.0,0.0,37.0,0.010471204188481676,2/37,0.11127819548872181,0,0,6.666666666666667,2.0,0.8579710144927537,0.24057183135393684
247,Shahbaz Ahmed,2022,2022,0.007326007326007325,0.0,0.0,0.0,0,0.0,156.0,0.0,125.0,0.015706806282722516,2/32,0.2505864661654135,1,0,0.0,0.0,0.5574136008918619,0.23862734661515017
216,Jayant Yadav,2016,2022,0.003663003663003663,2.0,1.0,3.0,2,3.0,84.0,0.0,61.0,0.005235602094240838,1/8,0.36691729323308275,1,0,3.571428571428571,1.5,0.505175983436853,0.2102136195520407
238,Krishnappa Gowtham,2021,2021,0.0,1.0,0.0,2.0,2,2.0,48.0,0.0,49.0,0.005235602094240838,1/49,0.2947368421052632,1,0,4.166666666666666,2.0,0.7101449275362319,0.20739553755775733
232,T. Natarajan,2020,2021,0.003663003663003663,1.0,0.0,0.0,0*,0.0,120.0,0.014705882352941176,143.0,0.015706806282722516,2/70,0.2866766917293233,0,0,0.0,0.0,0.8289855072463769,0.20428718157536202
244,Avesh Khan,2022,2022,0.014652014652014652,2.0,0.0,13.0,10,6.5,213.0,0.029411764705882353,214.0,0.015706806282722516,3/66,0.4290526315789474,3,0,6.103286384976526,6.5,0.6989181465605226,0.18500471613338373
229,Navdeep Saini,2019,2021,0.02564102564102564,5.0,3.0,107.0,45,53.5,420.0,0.0,481.0,0.03141361256544503,2/58,0.4821654135338346,3,0,25.476190476190474,21.4,0.7966873706004141,0.16491945714678052
246,Ravi Bishnoi,2022,2022,0.0,1.0,1.0,4.0,4*,0.0,48.0,0.0,69.0,0.005235602094240838,1/69,0.4150375939849624,0,0,8.333333333333332,4.0,1.0,0.14833484234145572
175,Virat Kohli ,2008,2023,1.0,265.0,40.0,12898.0,183,57.32,641.0,0.014705882352941176,665.0,0.020942408376963352,1/15,1.0,141,0,2012.1684867394695,48.67169811320755,0.7216984331547175,0.13841300238825477
233,Krunal Pandya,2021,2021,0.014652014652014652,4.0,2.0,130.0,58*,65.0,228.0,0.014705882352941176,223.0,0.010471204188481676,1/26,0.6706766917293233,1,0,57.01754385964912,32.5,0.6803966437833715,0.12215072818286733
